地名,序號,緯度,經度,座標文字,百分比X,百分比Y,Size
亞割谷,1,31.84,35.67,"31.84, 35.67",100,22.4,0
亞巴琳山,2,31.7,35.6,"31.7, 35.6",100,24.5,0
亞錄,3,29.5,33.5,"29.5, 33.5",80,57.5,0
亞門‧低比拉太音,4,30,34,"30.0, 34.0",90,50,0
亞雅崙谷,5,31.8,34.9,"31.8, 34.9",100,23,0
什亭,6,31.8,35.6,"31.8, 35.6",100,23,0
他備拉,7,29,34,"29.0, 34.0",90,65,0
他哈,8,30.5,34,"30.5, 34.0",90,42.5,0
他拉,9,30.5,34,"30.5, 34.0",90,42.5,0
以倘,10,30.5,34,"30.5, 34.0",90,42.5,0
以巴路山,11,32.2,35.2,"32.2, 35.2",100,17,0
以得來,12,32.6,36.1,"32.6, 36.1",100,11,0
以旬‧迦別,13,30.5,34,"30.5, 34.0",90,42.5,0
以琳,14,29.3,33.2,"29.3, 33.2",74,60.5,0
以耶‧亞巴琳,15,30.5,34,"30.5, 34.0",90,42.5,0
何烈山,16,30.5,34,"30.5, 34.0",90,42.5,0
何珥山,17,30.5,34,"30.5, 34.0",90,42.5,0
何珥瑪,18,30.5,34,"30.5, 34.0",90,42.5,0
利非訂,19,30.5,34,"30.5, 34.0",90,42.5,0
加低斯巴尼亞,20,30.5,34,"30.5, 34.0",90,42.5,0
勒撒,21,30.5,34,"30.5, 34.0",90,42.5,0
吉甲,22,31.9,35.5,"31.9, 35.5",100,21.5,0
哈‧哈及甲,23,30.5,34,"30.5, 34.0",90,42.5,0
哈拉大,24,30.5,34,"30.5, 34.0",90,42.5,0
哈摩拿,25,30.5,34,"30.5, 34.0",90,42.5,0
哈洗錄,26,30.5,34,"30.5, 34.0",90,42.5,0
埃及,27,30,31,"30.0, 31.0",30,50,3
基利心山,28,30.5,34,"30.5, 34.0",90,42.5,0
基博羅‧哈他瓦,29,30.5,34,"30.5, 34.0",90,42.5,0
基希拉他,30,30.5,34,"30.5, 34.0",90,42.5,0
基比亞,31,30.5,34,"30.5, 34.0",90,42.5,0
基遍,32,31.8,35.1,"31.8, 35.1",100,23,0
密加,33,30.5,34,"30.5, 34.0",90,42.5,0
密奪,34,30.5,34,"30.5, 34.0",90,42.5,0
尼波山,35,31.7,35.7,"31.7, 35.7",100,24.5,0
底本‧迦得,36,30.5,34,"30.5, 34.0",90,42.5,0
律瑪,37,30.5,34,"30.5, 34.0",90,42.5,0
摩押平原,38,30.5,34,"30.5, 34.0",90,42.5,3
摩西錄,39,30.5,34,"30.5, 34.0",90,42.5,0
撒摩拿,40,30.5,34,"30.5, 34.0",90,42.5,0
普嫩,41,30.5,34,"30.5, 34.0",90,42.5,0
書珥曠野,42,30.5,34,"30.5, 34.0",90,42.5,0
比‧哈希錄,43,30.5,34,"30.5, 34.0",90,42.5,0
比尼‧亞干,44,30.5,34,"30.5, 34.0",90,42.5,0
汛的曠野,45,30.5,34,"30.5, 34.0",90,42.5,3
沙斐山,46,30.5,34,"30.5, 34.0",90,42.5,0
瑪倫水邊,47,30.5,34,"30.5, 34.0",90,42.5,0
瑪吉希錄,48,30.5,34,"30.5, 34.0",90,42.5,0
瑪拉,49,30.5,34,"30.5, 34.0",90,42.5,0
疏割,50,30.5,34,"30.5, 34.0",90,42.5,0
示劍,51,30.5,34,"30.5, 34.0",90,42.5,0
示羅,52,30.5,34,"30.5, 34.0",90,42.5,0
立拿,53,30.5,34,"30.5, 34.0",90,42.5,0
立門‧帕列,54,30.5,34,"30.5, 34.0",90,42.5,0
米甸,55,30.5,34,"30.5, 34.0",90,42.5,0
約巴他,56,30.5,34,"30.5, 34.0",90,42.5,0
約旦河,57,30.5,34,"30.5, 34.0",90,42.5,0
約旦河邊,58,30.5,34,"30.5, 34.0",90,42.5,0
紅海,59,30.5,34,"30.5, 34.0",90,42.5,0
紅海東岸,60,30.5,34,"30.5, 34.0",90,42.5,0
紅海邊,61,30.5,34,"30.5, 34.0",90,42.5,0
耶利哥,62,30.5,34,"30.5, 34.0",90,42.5,0
脫加,63,30.5,34,"30.5, 34.0",90,42.5,0
艾城,64,30.5,34,"30.5, 34.0",90,42.5,0
蘭塞,65,30.5,34,"30.5, 34.0",90,42.5,0
西乃山,66,30.5,34,"30.5, 34.0",90,42.5,0
阿博,67,30.5,34,"30.5, 34.0",90,42.5,0
阿博拿,68,30.5,34,"30.5, 34.0",90,42.5,0
雅渣,69,30.5,34,"30.5, 34.0",90,42.5,0
馬基大,70,30.5,34,"30.5, 34.0",90,42.5,0
