地點名稱,X_小圖,Y_小圖,X_大圖,Y_大圖,類型,半徑,史地意義
哈蘭,,,54.11,0,Point,,亞伯拉罕停留之處
吾珥,,,89.58,79.41,Point,,亞伯拉罕的家鄉
巴別,,,81.44,66.52,Point,,巴別塔
示劍,113.43,38.28,35.37,61.46,Point,,亞伯拉罕築第一座壇
伯特利,120.13,54.01,35.07,65.52,Point,,築壇與求告主名
艾,116.57,54.01,35.19,65.52,Point,,
希伯崙,108.02,80.64,34.49,71.93,Point,,麥比拉洞所在地
別是巴,91.35,96.38,32.91,75.72,Point,,盟誓之井
埃及,,,12.93,139.92,Area,15,下埃及地區
埃及安城,,,15.43,91.73,Point,,
所多瑪,129.58,84.27,36.57,72.80,Point,,
蛾摩拉,129.58,78.82,36.62,71.49,Point,,
瑣珥,126.90,93.35,36.17,75.00,Point,,
基列山,145.77,30.41,37.98,59.86,Point,,
瑪哈念,140.40,32.22,37.48,60.29,Point,,
雅博渡口,135.03,35.25,36.98,61.01,Point,,
毗努伊勒,143.08,35.25,37.73,61.01,Point,,
疏割,132.34,38.28,36.73,61.73,Point,,
以得臺,113.43,67.33,35.00,68.72,Point,,
伊拿印,97.26,74.59,34.50,70.47,Point,,
伯利恆,113.43,68.54,35.00,69.01,Point,,
基拉耳,77.38,103.65,31.60,77.45,Point,,
多坍,113.43,26.17,35.00,58.58,Point,,
庫薩,,,33.10,61.31,Point,,
延,,,35.00,58.58,Point,,
彭哈一耳,,,35.00,68.72,Point,,
摩利橡樹,113.43,38.28,35.37,61.46,Point,,
撒冷,113.43,54.01,35.07,65.52,Point,,
撒拉,,,34.49,71.93,Point,,
耶和華以勒,113.43,68.54,35.00,69.01,Point,,
耶和華沙龍,113.43,38.28,35.37,61.46,Point,,
迦南,108.02,80.64,34.49,71.93,Area,25,迦南全地
迦勒底的吾珥,,,89.58,79.41,Point,,
那哈列,,,37.98,59.86,Point,,
瑣拉,105.34,71.56,34.50,69.75,Point,,
